Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Income_per_Family_Member,Loan_to_Income_Ratio
LP001095,Male,No,0.0,Graduate,No,3167,0.0,74.0,360.0,1.0,Urban,N,3167.0,0.02335858585858586
LP001097,Male,No,1.0,Graduate,Yes,4692,0.0,106.0,360.0,1.0,Rural,N,2346.0,0.02258683145109738
LP001098,Male,Yes,0.0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,Y,5167.0,0.032562125107112254
LP001100,Male,No,,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,N,15500.0,0.025597952163826893
LP001106,Male,Yes,0.0,Graduate,No,2275,2067.0,,360.0,1.0,Urban,Y,4342.0,0.0
LP001109,Male,Yes,0.0,Graduate,No,1828,1330.0,100.0,,0.0,Urban,N,3158.0,0.05467468562055768
LP001112,Female,Yes,0.0,Graduate,No,3667,1459.0,144.0,360.0,1.0,Semiurban,Y,5126.0,0.03925845147219193
LP001114,Male,No,0.0,Graduate,No,4166,7210.0,184.0,360.0,1.0,Urban,Y,11376.0,0.044156467482601394
LP001116,Male,No,0.0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,Y,5416.0,0.029341157642037877
LP001119,Male,No,0.0,Graduate,No,3600,0.0,80.0,360.0,1.0,Urban,N,3600.0,0.022216051096917523
LP001120,Male,No,0.0,Graduate,No,1800,1213.0,47.0,360.0,1.0,Urban,Y,3013.0,0.02609661299278179
LP001123,Male,Yes,0.0,Graduate,No,2400,0.0,75.0,360.0,,Urban,Y,2400.0,0.03123698458975427
LP001131,Male,Yes,0.0,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,Y,6277.0,0.033992897006595635
LP001136,Male,Yes,0.0,Not Graduate,Yes,4695,0.0,96.0,,1.0,Urban,Y,4695.0,0.020442930153321975
LP001137,Female,No,0.0,Graduate,No,3410,0.0,88.0,,1.0,Urban,Y,3410.0,0.0257988859571973
LP001138,Male,Yes,1.0,Graduate,No,5649,0.0,44.0,360.0,1.0,Urban,Y,2824.5,0.007787610619469027
LP001144,Male,Yes,0.0,Graduate,No,5821,0.0,144.0,360.0,1.0,Urban,Y,5821.0,0.024733768464445208
LP001146,Female,Yes,0.0,Graduate,No,2645,3440.0,120.0,360.0,0.0,Urban,N,6085.0,0.045351473922902494
LP001151,Female,No,0.0,Graduate,No,4000,2275.0,144.0,360.0,1.0,Semiurban,Y,6275.0,0.03599100224943764
LP001155,Female,Yes,0.0,Not Graduate,No,1928,1644.0,100.0,360.0,1.0,Semiurban,Y,3572.0,0.05184033177812338
LP001157,Female,No,0.0,Graduate,No,3086,0.0,120.0,360.0,1.0,Semiurban,Y,3086.0,0.038872691933916424
LP001164,Female,No,0.0,Graduate,No,4230,0.0,112.0,360.0,1.0,Semiurban,N,4230.0,0.02647128338454266
LP001179,Male,Yes,2.0,Graduate,No,4616,0.0,134.0,360.0,1.0,Urban,N,1538.6666666666667,0.02902317522200563
LP001186,Female,Yes,1.0,Graduate,Yes,11500,0.0,286.0,360.0,0.0,Urban,N,5750.0,0.024867402834536128
LP001194,Male,Yes,2.0,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban,Y,1291.6666666666667,0.03580657069029162
LP001195,Male,Yes,0.0,Graduate,No,2132,1591.0,96.0,360.0,1.0,Semiurban,Y,3723.0,0.0450070323488045
LP001197,Male,Yes,0.0,Graduate,No,3366,2200.0,135.0,360.0,1.0,Rural,N,5566.0,0.04009504009504009
LP001198,Male,Yes,1.0,Graduate,No,8080,2250.0,180.0,360.0,1.0,Urban,Y,5165.0,0.022274470981314194
LP001199,Male,Yes,2.0,Not Graduate,No,3357,2859.0,144.0,360.0,1.0,Urban,Y,2072.0,0.04288266825491364
LP001205,Male,Yes,0.0,Graduate,No,2500,3796.0,120.0,360.0,1.0,Urban,Y,6296.0,0.04798080767692923
LP001206,Male,Yes,,Graduate,No,3029,0.0,99.0,360.0,1.0,Urban,Y,3029.0,0.032673267326732675
LP001207,Male,Yes,0.0,Not Graduate,Yes,2609,3449.0,165.0,180.0,0.0,Rural,N,6058.0,0.06321839080459771
LP001213,Male,Yes,1.0,Graduate,No,4945,0.0,,360.0,0.0,Rural,N,2472.5,0.0
LP001222,Female,No,0.0,Graduate,No,4166,0.0,116.0,360.0,0.0,Semiurban,N,4166.0,0.027837772978161746
LP001225,Male,Yes,0.0,Graduate,No,5726,4595.0,258.0,360.0,1.0,Semiurban,N,10321.0,0.045049764274489264
LP001228,Male,No,0.0,Not Graduate,No,3200,2254.0,126.0,180.0,0.0,Urban,N,5454.0,0.03936269915651359
LP001233,Male,Yes,1.0,Graduate,No,10750,0.0,312.0,360.0,1.0,Urban,Y,5375.0,0.02902055622732769
LP001238,Male,Yes,,Not Graduate,Yes,7100,0.0,125.0,60.0,1.0,Urban,Y,7100.0,0.017603154485283764
LP001241,Female,No,0.0,Graduate,No,4300,0.0,136.0,360.0,0.0,Semiurban,N,4300.0,0.03162055335968379
LP001243,Male,Yes,0.0,Graduate,No,3208,3066.0,172.0,360.0,1.0,Urban,Y,6274.0,0.05359925210345902
LP001245,Male,Yes,2.0,Not Graduate,Yes,1875,1875.0,97.0,360.0,1.0,Semiurban,Y,1250.0,0.051705756929637525
LP001248,Male,No,0.0,Graduate,No,3500,0.0,81.0,300.0,1.0,Semiurban,Y,3500.0,0.02313624678663239
LP001250,Male,Yes,,Not Graduate,No,4755,0.0,95.0,,0.0,Semiurban,N,4755.0,0.019974768713204374
LP001253,Male,Yes,,Graduate,Yes,5266,1774.0,187.0,360.0,1.0,Semiurban,Y,7040.0,0.03550408202012531
LP001255,Male,No,0.0,Graduate,No,3750,0.0,113.0,480.0,1.0,Urban,N,3750.0,0.030125299920021328
LP001256,Male,No,0.0,Graduate,No,3750,4750.0,176.0,360.0,1.0,Urban,N,8500.0,0.0469208211143695
LP001259,Male,Yes,1.0,Graduate,Yes,1000,3022.0,110.0,360.0,1.0,Urban,N,2011.0,0.10989010989010989
LP001263,Male,Yes,,Graduate,No,3167,4000.0,180.0,300.0,0.0,Semiurban,N,7167.0,0.056818181818181816
LP001264,Male,Yes,,Not Graduate,Yes,3333,2166.0,130.0,360.0,,Semiurban,Y,5499.0,0.038992201559688064
LP001265,Female,No,0.0,Graduate,No,3846,0.0,111.0,360.0,1.0,Semiurban,Y,3846.0,0.028853652196516765
LP001266,Male,Yes,1.0,Graduate,Yes,2395,0.0,,360.0,1.0,Semiurban,Y,1197.5,0.0
LP001267,Female,Yes,2.0,Graduate,No,1378,1881.0,167.0,360.0,1.0,Urban,N,1086.3333333333333,0.1211022480058013
LP001273,Male,Yes,0.0,Graduate,No,6000,2250.0,265.0,360.0,,Semiurban,N,8250.0,0.044159306782202964
LP001275,Male,Yes,1.0,Graduate,No,3988,0.0,50.0,240.0,1.0,Urban,Y,1994.0,0.012534469791927802
LP001279,Male,No,0.0,Graduate,No,2366,2531.0,136.0,360.0,1.0,Semiurban,Y,4897.0,0.0574566962399662
LP001280,Male,Yes,2.0,Not Graduate,No,3333,2000.0,99.0,360.0,,Semiurban,Y,1777.6666666666667,0.02969406118776245
LP001282,Male,Yes,0.0,Graduate,No,2500,2118.0,104.0,360.0,1.0,Semiurban,Y,4618.0,0.041583366653338664
LP001289,Male,No,0.0,Graduate,No,8566,0.0,210.0,360.0,1.0,Urban,Y,8566.0,0.02451266487685304
LP001310,Male,Yes,0.0,Graduate,No,5695,4167.0,175.0,360.0,1.0,Semiurban,Y,9862.0,0.030723314606741572
LP001316,Male,Yes,0.0,Graduate,No,2958,2900.0,131.0,360.0,1.0,Semiurban,Y,5858.0,0.04427171341669483
LP001318,Male,Yes,2.0,Graduate,No,6250,5654.0,188.0,180.0,1.0,Semiurban,Y,3968.0,0.03007518796992481
LP001319,Male,Yes,2.0,Not Graduate,No,3273,1820.0,81.0,360.0,1.0,Urban,Y,1697.6666666666667,0.02474037874160049
LP001322,Male,No,0.0,Graduate,No,4133,0.0,122.0,360.0,1.0,Semiurban,Y,4133.0,0.029511369134010642
LP001325,Male,No,0.0,Not Graduate,No,3620,0.0,25.0,120.0,1.0,Semiurban,Y,3620.0,0.006904170118751726
LP001326,Male,No,0.0,Graduate,,6782,0.0,,360.0,,Urban,N,6782.0,0.0
LP001327,Female,Yes,0.0,Graduate,No,2484,2302.0,137.0,360.0,1.0,Semiurban,Y,4786.0,0.055130784708249496
LP001333,Male,Yes,0.0,Graduate,No,1977,997.0,50.0,360.0,1.0,Semiurban,Y,2974.0,0.025278058645096056
LP001334,Male,Yes,0.0,Not Graduate,No,4188,0.0,115.0,180.0,1.0,Semiurban,Y,4188.0,0.027452852709477202
LP001343,Male,Yes,0.0,Graduate,No,1759,3541.0,131.0,360.0,1.0,Semiurban,Y,5300.0,0.07443181818181818
LP001345,Male,Yes,2.0,Not Graduate,No,4288,3263.0,133.0,180.0,1.0,Urban,Y,2517.0,0.031009559337840987
LP001349,Male,No,0.0,Graduate,No,4843,3806.0,151.0,360.0,1.0,Semiurban,Y,8649.0,0.031172584640792735
LP001350,Male,Yes,,Graduate,No,13650,0.0,,360.0,1.0,Urban,Y,13650.0,0.0
LP001356,Male,Yes,0.0,Graduate,No,4652,3583.0,,360.0,1.0,Semiurban,Y,8235.0,0.0
LP001357,Male,,,Graduate,No,3816,754.0,160.0,360.0,1.0,Urban,Y,4570.0,0.041917736442232116
LP001367,Male,Yes,1.0,Graduate,No,3052,1030.0,100.0,360.0,1.0,Urban,Y,2041.0,0.03275466754012447
LP001369,Male,Yes,2.0,Graduate,No,11417,1126.0,225.0,360.0,1.0,Urban,Y,4181.0,0.01970572779821335
LP001370,Male,No,0.0,Not Graduate,,7333,0.0,120.0,360.0,1.0,Rural,N,7333.0,0.01636214889555495
LP001379,Male,Yes,2.0,Graduate,No,3800,3600.0,216.0,360.0,0.0,Urban,N,2466.6666666666665,0.056827150749802685
LP001384,Male,Yes,,Not Graduate,No,2071,754.0,94.0,480.0,1.0,Semiurban,Y,2825.0,0.045366795366795366
LP001385,Male,No,0.0,Graduate,No,5316,0.0,136.0,360.0,1.0,Urban,Y,5316.0,0.025578333646793305
LP001387,Female,Yes,0.0,Graduate,,2929,2333.0,139.0,360.0,1.0,Semiurban,Y,5262.0,0.04744027303754266
LP001391,Male,Yes,0.0,Not Graduate,No,3572,4114.0,152.0,,0.0,Rural,N,7686.0,0.042541281835992165
LP001392,Female,No,1.0,Graduate,Yes,7451,0.0,,360.0,1.0,Semiurban,Y,3725.5,0.0
LP001398,Male,No,0.0,Graduate,,5050,0.0,118.0,360.0,1.0,Semiurban,Y,5050.0,0.02336171055236587
LP001401,Male,Yes,1.0,Graduate,No,14583,0.0,185.0,180.0,1.0,Rural,Y,7291.5,0.012685134393856282
LP001404,Female,Yes,0.0,Graduate,No,3167,2283.0,154.0,360.0,1.0,Semiurban,Y,5450.0,0.04861111111111111
LP001405,Male,Yes,1.0,Graduate,No,2214,1398.0,85.0,360.0,,Urban,Y,1806.0,0.03837471783295711
LP001421,Male,Yes,0.0,Graduate,No,5568,2142.0,175.0,360.0,1.0,Rural,N,7710.0,0.031423954031244386
LP001422,Female,No,0.0,Graduate,No,10408,0.0,259.0,360.0,1.0,Urban,Y,10408.0,0.02488231338264963
LP001426,Male,Yes,,Graduate,No,5667,2667.0,180.0,360.0,1.0,Rural,Y,8334.0,0.03175723359209598
LP001430,Female,No,0.0,Graduate,No,4166,0.0,44.0,360.0,1.0,Semiurban,Y,4166.0,0.010559155267578594
LP001431,Female,No,0.0,Graduate,No,2137,8980.0,137.0,360.0,0.0,Semiurban,Y,11117.0,0.06407857811038353
LP001432,Male,Yes,2.0,Graduate,No,2957,0.0,81.0,360.0,1.0,Semiurban,Y,985.6666666666666,0.02738336713995943
LP001439,Male,Yes,0.0,Not Graduate,No,4300,2014.0,194.0,360.0,1.0,Rural,Y,6314.0,0.045105789351313645
LP001443,Female,No,0.0,Graduate,No,3692,0.0,93.0,360.0,,Rural,Y,3692.0,0.025182778229082048
LP001448,,Yes,,Graduate,No,23803,0.0,370.0,360.0,1.0,Rural,Y,23803.0,0.015543606116619056
LP001449,Male,No,0.0,Graduate,No,3865,1640.0,,360.0,1.0,Rural,Y,5505.0,0.0
LP001451,Male,Yes,1.0,Graduate,Yes,10513,3850.0,160.0,180.0,0.0,Urban,N,7181.5,0.015217804831653034
LP001465,Male,Yes,0.0,Graduate,No,6080,2569.0,182.0,360.0,,Rural,N,8649.0,0.029929287946061502
LP001469,Male,No,0.0,Graduate,Yes,20166,0.0,650.0,480.0,,Urban,Y,20166.0,0.03223087221698815
LP001473,Male,No,0.0,Graduate,No,2014,1929.0,74.0,360.0,1.0,Urban,Y,3943.0,0.03672456575682382
LP001478,Male,No,0.0,Graduate,No,2718,0.0,70.0,360.0,1.0,Semiurban,Y,2718.0,0.025744759102611255
LP001482,Male,Yes,0.0,Graduate,Yes,3459,0.0,25.0,120.0,1.0,Semiurban,Y,3459.0,0.0072254335260115606
LP001487,Male,No,0.0,Graduate,No,4895,0.0,102.0,360.0,1.0,Semiurban,Y,4895.0,0.020833333333333332
LP001488,Male,Yes,,Graduate,No,4000,7750.0,290.0,360.0,1.0,Semiurban,N,11750.0,0.07248187953011748
LP001489,Female,Yes,0.0,Graduate,No,4583,0.0,84.0,360.0,1.0,Rural,N,4583.0,0.01832460732984293
LP001491,Male,Yes,2.0,Graduate,Yes,3316,3500.0,88.0,360.0,1.0,Urban,Y,2272.0,0.026529996985227615
LP001492,Male,No,0.0,Graduate,No,14999,0.0,242.0,360.0,0.0,Semiurban,N,14999.0,0.016133333333333333
LP001493,Male,Yes,2.0,Not Graduate,No,4200,1430.0,129.0,360.0,1.0,Rural,N,1876.6666666666667,0.03070697452987384
LP001497,Male,Yes,2.0,Graduate,No,5042,2083.0,185.0,360.0,1.0,Rural,N,2375.0,0.03668451318659528
LP001498,Male,No,0.0,Graduate,No,5417,0.0,168.0,360.0,1.0,Urban,Y,5417.0,0.031007751937984496
LP001504,Male,No,0.0,Graduate,Yes,6950,0.0,175.0,180.0,1.0,Semiurban,Y,6950.0,0.025176233635448138
LP001507,Male,Yes,0.0,Graduate,No,2698,2034.0,122.0,360.0,1.0,Semiurban,Y,4732.0,0.04520192663949611
LP001508,Male,Yes,2.0,Graduate,No,11757,0.0,187.0,180.0,1.0,Urban,Y,3919.0,0.01590406531723082
LP001514,Female,Yes,0.0,Graduate,No,2330,4486.0,100.0,360.0,1.0,Semiurban,Y,6816.0,0.0429000429000429
LP001516,Female,Yes,2.0,Graduate,No,14866,0.0,70.0,360.0,1.0,Urban,Y,4955.333333333333,0.004708414609537903
LP001518,Male,Yes,1.0,Graduate,No,1538,1425.0,30.0,360.0,1.0,Urban,Y,1481.5,0.01949317738791423
LP001519,Female,No,0.0,Graduate,No,10000,1666.0,225.0,360.0,1.0,Rural,N,11666.0,0.022497750224977502
LP001520,Male,Yes,0.0,Graduate,No,4860,830.0,125.0,360.0,1.0,Semiurban,Y,5690.0,0.025714873482822465
LP001528,Male,No,0.0,Graduate,No,6277,0.0,118.0,360.0,0.0,Rural,N,6277.0,0.01879579483912074
LP001529,Male,Yes,0.0,Graduate,Yes,2577,3750.0,152.0,360.0,1.0,Rural,Y,6327.0,0.05896043444530644
LP001531,Male,No,0.0,Graduate,No,9166,0.0,244.0,360.0,1.0,Urban,N,9166.0,0.026617213919493836
LP001532,Male,Yes,2.0,Not Graduate,No,2281,0.0,113.0,360.0,1.0,Rural,N,760.3333333333334,0.04951796669588081
LP001535,Male,No,0.0,Graduate,No,3254,0.0,50.0,360.0,1.0,Urban,Y,3254.0,0.015360983102918587
LP001536,Male,Yes,,Graduate,No,39999,0.0,600.0,180.0,0.0,Semiurban,Y,39999.0,0.015
LP001541,Male,Yes,1.0,Graduate,No,6000,0.0,160.0,360.0,,Rural,Y,3000.0,0.026662222962839526
LP001543,Male,Yes,1.0,Graduate,No,9538,0.0,187.0,360.0,1.0,Urban,Y,4769.0,0.01960373204738442
LP001546,Male,No,0.0,Graduate,,2980,2083.0,120.0,360.0,1.0,Rural,Y,5063.0,0.040254948004025494
LP001552,Male,Yes,0.0,Graduate,No,4583,5625.0,255.0,360.0,1.0,Semiurban,Y,10208.0,0.055628272251308904
LP001560,Male,Yes,0.0,Not Graduate,No,1863,1041.0,98.0,360.0,1.0,Semiurban,Y,2904.0,0.05257510729613734
LP001562,Male,Yes,0.0,Graduate,No,7933,0.0,275.0,360.0,1.0,Urban,N,7933.0,0.034660952861104107
LP001565,Male,Yes,1.0,Graduate,No,3089,1280.0,121.0,360.0,0.0,Semiurban,N,2184.5,0.039158576051779935
LP001570,Male,Yes,2.0,Graduate,No,4167,1447.0,158.0,360.0,1.0,Rural,Y,1871.3333333333333,0.03790786948176583
LP001572,Male,Yes,0.0,Graduate,No,9323,0.0,75.0,180.0,1.0,Urban,Y,9323.0,0.008043758043758044
LP001574,Male,Yes,0.0,Graduate,No,3707,3166.0,182.0,,1.0,Rural,Y,6873.0,0.04908306364617044
LP001577,Female,Yes,0.0,Graduate,No,4583,0.0,112.0,360.0,1.0,Rural,N,4583.0,0.02443280977312391
LP001578,Male,Yes,0.0,Graduate,No,2439,3333.0,129.0,360.0,1.0,Rural,Y,5772.0,0.052868852459016395
LP001579,Male,No,0.0,Graduate,No,2237,0.0,63.0,480.0,0.0,Semiurban,N,2237.0,0.028150134048257374
LP001580,Male,Yes,2.0,Graduate,No,8000,0.0,200.0,360.0,1.0,Semiurban,Y,2666.6666666666665,0.024996875390576177
LP001581,Male,Yes,0.0,Not Graduate,,1820,1769.0,95.0,360.0,1.0,Rural,Y,3589.0,0.05216913783635365
LP001585,,Yes,,Graduate,No,51763,0.0,700.0,300.0,1.0,Urban,Y,51763.0,0.01352291167606831
LP001586,Male,Yes,,Not Graduate,No,3522,0.0,81.0,180.0,1.0,Rural,N,3522.0,0.022991768379222254
LP001594,Male,Yes,0.0,Graduate,No,5708,5625.0,187.0,360.0,1.0,Semiurban,Y,11333.0,0.03275529865125241
LP001603,Male,Yes,0.0,Not Graduate,Yes,4344,736.0,87.0,360.0,1.0,Semiurban,N,5080.0,0.02002301495972382
LP001606,Male,Yes,0.0,Graduate,No,3497,1964.0,116.0,360.0,1.0,Rural,Y,5461.0,0.03316180674671241
LP001608,Male,Yes,2.0,Graduate,No,2045,1619.0,101.0,360.0,1.0,Rural,Y,1221.3333333333333,0.04936461388074291
LP001610,Male,Yes,,Graduate,No,5516,11300.0,495.0,360.0,0.0,Semiurban,N,16816.0,0.08972267536704731
LP001616,Male,Yes,1.0,Graduate,No,3750,0.0,116.0,360.0,1.0,Semiurban,Y,1875.0,0.030925086643561715
LP001630,Male,No,0.0,Not Graduate,No,2333,1451.0,102.0,480.0,0.0,Urban,N,3784.0,0.043701799485861184
LP001633,Male,Yes,1.0,Graduate,No,6400,7250.0,180.0,360.0,0.0,Urban,N,6825.0,0.028120606155288237
LP001634,Male,No,0.0,Graduate,No,1916,5063.0,67.0,360.0,,Rural,N,6979.0,0.03495044340114763
LP001636,Male,Yes,0.0,Graduate,No,4600,0.0,73.0,180.0,1.0,Semiurban,Y,4600.0,0.01586611606172571
LP001637,Male,Yes,1.0,Graduate,No,33846,0.0,260.0,360.0,1.0,Semiurban,N,16923.0,0.0076816261411646524
LP001639,Female,Yes,0.0,Graduate,No,3625,0.0,108.0,360.0,1.0,Semiurban,Y,3625.0,0.02978488692774407
LP001640,Male,Yes,0.0,Graduate,Yes,39147,4750.0,120.0,360.0,1.0,Semiurban,Y,43897.0,0.0030652906917339327
LP001641,Male,Yes,1.0,Graduate,Yes,2178,0.0,66.0,300.0,0.0,Rural,N,1089.0,0.030289123451124368
LP001643,Male,Yes,0.0,Graduate,No,2383,2138.0,58.0,360.0,,Rural,Y,4521.0,0.024328859060402684
LP001644,,Yes,0.0,Graduate,Yes,674,5296.0,168.0,360.0,1.0,Rural,Y,5970.0,0.24888888888888888
LP001647,Male,Yes,0.0,Graduate,No,9328,0.0,188.0,180.0,1.0,Rural,Y,9328.0,0.020152213527709295
LP001653,Male,No,0.0,Not Graduate,No,4885,0.0,48.0,360.0,1.0,Rural,Y,4885.0,0.009823986901350798
LP001656,Male,No,0.0,Graduate,No,12000,0.0,164.0,360.0,1.0,Semiurban,N,12000.0,0.013665527872677276
LP001657,Male,Yes,0.0,Not Graduate,No,6033,0.0,160.0,360.0,1.0,Urban,N,6033.0,0.026516407026847863
LP001658,Male,No,0.0,Graduate,No,3858,0.0,76.0,360.0,1.0,Semiurban,Y,3858.0,0.019694221300855144
LP001664,Male,No,0.0,Graduate,No,4191,0.0,120.0,360.0,1.0,Rural,Y,4191.0,0.02862595419847328
LP001665,Male,Yes,1.0,Graduate,No,3125,2583.0,170.0,360.0,1.0,Semiurban,N,2854.0,0.05438259756877799
LP001666,Male,No,0.0,Graduate,No,8333,3750.0,187.0,360.0,1.0,Rural,Y,12083.0,0.02243820494360451
LP001669,Female,No,0.0,Not Graduate,No,1907,2365.0,120.0,,1.0,Urban,Y,4272.0,0.06289308176100629
LP001671,Female,Yes,0.0,Graduate,No,3416,2816.0,113.0,360.0,,Semiurban,Y,6232.0,0.03306994439566872
LP001673,Male,No,0.0,Graduate,Yes,11000,0.0,83.0,360.0,1.0,Urban,N,11000.0,0.007544768657394782
LP001674,Male,Yes,1.0,Not Graduate,No,2600,2500.0,90.0,360.0,1.0,Semiurban,Y,2550.0,0.03460207612456748
LP001677,Male,No,2.0,Graduate,No,4923,0.0,166.0,360.0,0.0,Semiurban,Y,1641.0,0.033712428919577576
LP001682,Male,Yes,,Not Graduate,No,3992,0.0,,180.0,1.0,Urban,N,3992.0,0.0
LP001688,Male,Yes,1.0,Not Graduate,No,3500,1083.0,135.0,360.0,1.0,Urban,Y,2291.5,0.038560411311053984
LP001691,Male,Yes,2.0,Not Graduate,No,3917,0.0,124.0,360.0,1.0,Semiurban,Y,1305.6666666666667,0.03164880040837162
LP001692,Female,No,0.0,Not Graduate,No,4408,0.0,120.0,360.0,1.0,Semiurban,Y,4408.0,0.027217056021773645
LP001693,Female,No,0.0,Graduate,No,3244,0.0,80.0,360.0,1.0,Urban,Y,3244.0,0.02465331278890601
LP001698,Male,No,0.0,Not Graduate,No,3975,2531.0,55.0,360.0,1.0,Rural,Y,6506.0,0.013832997987927566
LP001699,Male,No,0.0,Graduate,No,2479,0.0,59.0,360.0,1.0,Urban,Y,2479.0,0.02379032258064516
LP001702,Male,No,0.0,Graduate,No,3418,0.0,127.0,360.0,1.0,Semiurban,N,3418.0,0.03714536414156186
LP001708,Female,No,0.0,Graduate,No,10000,0.0,214.0,360.0,1.0,Semiurban,N,10000.0,0.021397860213978603
LP001711,Male,Yes,,Graduate,No,3430,1250.0,128.0,360.0,0.0,Semiurban,N,4680.0,0.03730690760711163
LP001713,Male,Yes,1.0,Graduate,Yes,7787,0.0,240.0,360.0,1.0,Urban,Y,3893.5,0.030816640986132512
LP001715,Male,Yes,,Not Graduate,Yes,5703,0.0,130.0,360.0,1.0,Rural,Y,5703.0,0.02279102384291725
LP001716,Male,Yes,0.0,Graduate,No,3173,3021.0,137.0,360.0,1.0,Urban,Y,6194.0,0.04316320100819156
LP001720,Male,Yes,,Not Graduate,No,3850,983.0,100.0,360.0,1.0,Semiurban,Y,4833.0,0.025967281225655673
LP001722,Male,Yes,0.0,Graduate,No,150,1800.0,135.0,360.0,1.0,Rural,N,1950.0,0.8940397350993378
